index,count_deposit,count_borrow,count_repay,count_withdraw,count_liquidation,avg_deposit,avg_borrow,avg_repay,avg_withdraw,withdraw_to_depo,borrow_to_deposit,repay_to_borrow
3355,0.003913894324853229,0.0,0.0,0.0,0.0,6.26255407973161e-07,0.0,0.0,0.0,0.0,0.0,0.0
372,0.015655577299412915,0.035,0.006872852233676976,0.0,0.0,1.899311729764268e-05,6.613798349666924e-06,4.598584775573622e-06,0.0,0.0,0.23266424983525405,0.2312578846888934
1537,0.025440313111545987,0.015,0.003436426116838488,0.0009113214160532773,0.0,0.0008791684381364934,0.00045137274141738383,0.0011325351594385533,0.0005871227693908566,8.257433901324003e-11,0.09047074180751334,0.9736135141925629
2703,0.0019569471624266144,0.005,0.003436426116838488,7.010164738871364e-05,0.0,0.0009194159991285489,0.00017225706763708461,0.00013913939450255019,0.0006278920326274591,8.444252026035753e-11,0.14306450309385574,0.9402952709697475
3285,0.03522504892367906,0.045,0.01718213058419244,0.0004907115317209955,0.0,0.000834930690694388,0.0007109321299604746,0.0004024368193782607,0.0007809283681519282,4.4975356895342e-11,0.3250982586587699,0.36609035972748255
3486,0.0136986301369863,0.015,0.01718213058419244,0.0004907115317209955,0.0,9.427198029218242e-06,1.2086751336249752e-05,5.213186502431433e-06,6.4339319553462335e-06,8.438827362755966e-11,0.4195822911428884,0.8368228992750019
2039,0.005870841487279843,0.0,0.0,7.010164738871364e-05,0.0,0.0068072575178672505,0.0,0.0,0.0005226237587558614,3.16434826224212e-12,0.0,0.0
3353,0.015655577299412915,0.01,0.006872852233676976,0.0003505082369435682,0.0,0.00080324997637606,0.00010334833886467433,8.384510840457427e-05,0.0008656810227240689,8.328666974534385e-11,0.02456178064501977,0.9444205378011542
1727,0.0019569471624266144,0.0,0.0,0.0,0.0,4.05490239913195e-07,0.0,0.0,0.0,0.0,0.0,0.0
2031,0.0019569471624266144,0.0,0.0,0.0,0.0,5.325514216424513e-07,0.0,0.0,0.0,0.0,0.0,0.0
1016,0.003913894324853229,0.0,0.0,0.0,0.0,1.9630517791966522e-07,0.0,0.0,0.0,0.0,0.0,0.0
64,0.019569471624266144,0.03,0.030927835051546393,0.00077111812127585,0.0,0.0033218497899091784,0.0010378388156991073,0.0005600974988629842,0.0019699346821986977,8.06589917018868e-11,0.14314233470320395,0.9423585001478126
2163,0.005870841487279843,0.0,0.0,0.0,0.0,0.0005248806869571246,0.0,0.0,0.0,0.0,0.0,0.0
2117,0.0019569471624266144,0.0,0.0,0.0,0.0,4.867607472694221e-07,0.0,0.0,0.0,0.0,0.0,0.0
712,0.0019569471624266144,0.0,0.0,0.0,0.0,4.372180170303954e-07,0.0,0.0,0.0,0.0,0.0,0.0
470,0.04892367906066536,0.055,0.020618556701030927,0.0005608131791097091,0.0,0.0007992911014317864,0.0013963104720574034,0.002069467249479274,0.00173669672605108,8.597205230903829e-11,0.5869439273412921,0.9410795894469764
